gid,lat,lng,time,duration
360470117001,40.668299,-73.990486,2017-09-19T11:11:48Z,16
360470117001,40.668094,-73.990638,2017-09-19T11:12:04Z,23
360470117002,40.667822,-73.990850,2017-09-19T11:12:27Z,18
360470117002,40.667594,-73.991019,2017-09-19T11:12:45Z,18
360470141003,40.667354,-73.991213,2017-09-19T11:13:03Z,22
360470141003,40.667116,-73.991405,2017-09-19T11:13:25Z,20
360470141003,40.666899,-73.991562,2017-09-19T11:13:45Z,37
360470117003,40.666474,-73.992021,2017-09-19T11:14:22Z,18
360470117003,40.6663,-73.992329,2017-09-19T11:14:40Z,32
360470117003,40.666009,-73.992567,2017-09-19T11:15:12Z,21
360470117003,40.665851,-73.992671,2017-09-19T11:15:33Z,15
360470117003,40.66574,-73.992725,2017-09-19T11:15:48Z,59
360470143001,40.66531,-73.992868,2017-09-19T11:16:47Z,17
360470143001,40.665239,-73.992882,2017-09-19T11:17:04Z,27
360470143001,40.66489,-73.992797,2017-09-19T11:17:31Z,30
360470143001,40.664478,-73.992494,2017-09-19T11:18:01Z,16
360470143001,40.664344,-73.992287,2017-09-19T11:18:17Z,21
360470143001,40.664219,-73.992003,2017-09-19T11:18:38Z,28
360470143001,40.66419,-73.991622,2017-09-19T11:19:06Z,5532
360470143001,40.66419,-73.991622,2017-09-19T12:51:18Z,289
360470139004,40.670009,-73.988905,2017-09-19T12:56:07Z,16
360470121002,40.670076,-73.989053,2017-09-19T12:56:23Z,16
360470121002,40.670119,-73.989169,2017-09-19T12:56:39Z,22
360470121002,40.670121,-73.989261,2017-09-19T12:57:01Z,219
360470121002,40.670062,-73.989069,2017-09-19T13:00:40Z,43
360470121002,40.670121,-73.989442,2017-09-19T13:01:23Z,235
360470075004,40.680906,-73.994359,2017-09-19T13:05:18Z,75
360470069001,40.686324,-73.990640,2017-09-19T13:06:33Z,126
360470069001,40.686453,-73.990588,2017-09-19T13:08:39Z,20
360470069001,40.686419,-73.990620,2017-09-19T13:08:59Z,456
360610015022,40.707149,-74.004546,2017-09-19T13:16:35Z,549
360610083002,40.741251,-74.001990,2017-09-19T13:25:44Z,39
360610083002,40.741256,-74.002001,2017-09-19T13:26:23Z,0
360610083002,40.741256,-74.002001,2017-09-19T13:26:23Z,36
360610083001,40.741229,-74.001906,2017-09-19T13:26:59Z,20
360610083001,40.7412,-74.001810,2017-09-19T13:27:19Z,29
360610083002,40.741314,-74.002191,2017-09-19T13:27:48Z,54
360610083002,40.741552,-74.002978,2017-09-19T13:28:42Z,119
360610083001,40.742327,-74.004263,2017-09-19T13:30:41Z,27990
360610083003,40.742346,-74.005016,2017-09-19T21:17:11Z,170
360610083003,40.742557,-74.007892,2017-09-19T21:20:01Z,16
360610083003,40.742384,-74.007896,2017-09-19T21:20:17Z,15
360610083003,40.742193,-74.008022,2017-09-19T21:20:32Z,17
360610079001,40.741918,-74.007866,2017-09-19T21:20:49Z,20
360610079001,40.74169,-74.007765,2017-09-19T21:21:09Z,19
360610079001,40.741569,-74.007806,2017-09-19T21:21:28Z,20
360610079001,40.741551,-74.007421,2017-09-19T21:21:48Z,28
360610079001,40.741456,-74.007199,2017-09-19T21:22:16Z,22
360610079001,40.741295,-74.007366,2017-09-19T21:22:38Z,46
360610079001,40.740957,-74.007584,2017-09-19T21:23:24Z,19
360610079001,40.740682,-74.007734,2017-09-19T21:23:43Z,15
360610079001,40.740561,-74.007840,2017-09-19T21:23:58Z,33
360610079001,40.740506,-74.008020,2017-09-19T21:24:31Z,18
360610079001,40.740542,-74.008188,2017-09-19T21:24:49Z,18
360610079001,40.740629,-74.008392,2017-09-19T21:25:07Z,16
360610079001,40.740643,-74.008403,2017-09-19T21:25:23Z,11977
360610079001,40.740643,-74.008403,2017-09-20T00:45:00Z,52
360610079003,40.738661,-74.006493,2017-09-20T00:45:52Z,30
360610079003,40.739307,-74.006542,2017-09-20T00:46:22Z,21
360610079001,40.739397,-74.007088,2017-09-20T00:46:43Z,28
360610079001,40.739509,-74.008606,2017-09-20T00:47:11Z,32
360610079001,40.739017,-74.009728,2017-09-20T00:47:43Z,18
360610079001,40.738813,-74.009858,2017-09-20T00:48:01Z,33
360610079001,40.738791,-74.009864,2017-09-20T00:48:34Z,19
360610079001,40.738427,-74.009910,2017-09-20T00:48:53Z,21
360610079001,40.737926,-74.009924,2017-09-20T00:49:14Z,27
360610075001,40.735368,-74.010192,2017-09-20T00:49:41Z,16
360610075001,40.733079,-74.010392,2017-09-20T00:49:57Z,27
360610069001,40.731323,-74.010541,2017-09-20T00:50:24Z,39
360610069001,40.729632,-74.010752,2017-09-20T00:51:03Z,178
360610317031,40.717721,-74.012623,2017-09-20T00:54:01Z,20
360610317032,40.716302,-74.013293,2017-09-20T00:54:21Z,29
360610021002,40.71603,-74.012570,2017-09-20T00:54:50Z,16
360610021002,40.715266,-74.013070,2017-09-20T00:55:06Z,16
360610317032,40.71421,-74.013554,2017-09-20T00:55:22Z,23
360610317031,40.713102,-74.013761,2017-09-20T00:55:45Z,25
360610013001,40.711068,-74.013909,2017-09-20T00:56:10Z,19
360610013001,40.710458,-74.014488,2017-09-20T00:56:29Z,17
360610317041,40.7103,-74.014795,2017-09-20T00:56:46Z,33
360610317041,40.710026,-74.014903,2017-09-20T00:57:19Z,33
360610317041,40.709925,-74.014904,2017-09-20T00:57:52Z,73
360610013001,40.708255,-74.015183,2017-09-20T00:59:05Z,54
360610013002,40.706824,-74.014994,2017-09-20T00:59:59Z,1
360610013002,40.706824,-74.014994,2017-09-20T01:00:00Z,14
360610013002,40.706448,-74.014944,2017-09-20T01:00:14Z,45
360610013002,40.706687,-74.014719,2017-09-20T01:00:59Z,20
360610013002,40.706319,-74.014981,2017-09-20T01:01:19Z,18
360610013002,40.706266,-74.015076,2017-09-20T01:01:37Z,21
360610013002,40.706151,-74.015034,2017-09-20T01:01:58Z,19
360610013002,40.705918,-74.014962,2017-09-20T01:02:17Z,452
360470059002,40.676919,-74.002364,2017-09-20T01:09:49Z,41
360470077003,40.673546,-73.999600,2017-09-20T01:10:30Z,23
360470053001,40.672628,-73.999215,2017-09-20T01:10:53Z,70
360470119001,40.673061,-73.994670,2017-09-20T01:12:03Z,109
360470121002,40.670252,-73.989171,2017-09-20T01:13:52Z,20
360470121002,40.669906,-73.989118,2017-09-20T01:14:12Z,25
360470121002,40.669553,-73.989479,2017-09-20T01:14:37Z,21
360470117001,40.668063,-73.990694,2017-09-20T01:14:58Z,18
360470141003,40.666164,-73.992145,2017-09-20T01:15:16Z,31
360470141002,40.66554,-73.992492,2017-09-20T01:15:47Z,29
360470141002,40.665514,-73.992511,2017-09-20T01:16:16Z,57
360470143001,40.66419,-73.991622,2017-09-20T01:17:13Z,41511
360470143001,40.664461,-73.991579,2017-09-20T12:49:04Z,233
360470139003,40.668826,-73.989755,2017-09-20T12:52:57Z,26
360470139003,40.66932,-73.989533,2017-09-20T12:53:23Z,15
360470121002,40.669509,-73.989435,2017-09-20T12:53:38Z,47
360470121002,40.669754,-73.989386,2017-09-20T12:54:25Z,27
360470121002,40.669888,-73.989376,2017-09-20T12:54:52Z,48
360470121002,40.670101,-73.989383,2017-09-20T12:55:40Z,54
