gid,lat,lng,time,duration
36047014300,40.66419,-73.991622,2017-09-27T22:43:32Z,49757
36047014300,40.66419,-73.991622,2017-09-28T12:32:49Z,168
36047012100,40.67016,-73.989945,2017-09-28T12:35:37Z,16
36047012100,40.670255,-73.990025,2017-09-28T12:35:53Z,23
36047012100,40.670442,-73.990247,2017-09-28T12:36:16Z,23
36047012100,40.670933,-73.990836,2017-09-28T12:36:39Z,20
36047012100,40.672005,-73.992066,2017-09-28T12:36:59Z,1234
36061002100,40.713561,-74.009426,2017-09-28T12:57:33Z,146
36061003300,40.719189,-74.007855,2017-09-28T12:59:59Z,1
36061003300,40.719189,-74.007855,2017-09-28T13:00:00Z,562
36061008300,40.740771,-74.001827,2017-09-28T13:09:22Z,0
36061008300,40.740771,-74.001827,2017-09-28T13:09:22Z,32
36061008300,40.740979,-74.001939,2017-09-28T13:09:54Z,19
36061008300,40.741027,-74.002078,2017-09-28T13:10:13Z,27
36061008300,40.741355,-74.002162,2017-09-28T13:10:40Z,24
36061008300,40.741461,-74.002388,2017-09-28T13:11:04Z,28
36061008300,40.741578,-74.002806,2017-09-28T13:11:32Z,21
36061008300,40.741666,-74.003187,2017-09-28T13:11:53Z,18
36061008300,40.741783,-74.003334,2017-09-28T13:12:11Z,31
36061008300,40.741969,-74.003674,2017-09-28T13:12:42Z,21
36061008300,40.742077,-74.003955,2017-09-28T13:13:03Z,20
36061008300,40.742327,-74.004263,2017-09-28T13:13:23Z,13298
36061008300,40.74185,-74.005492,2017-09-28T16:55:01Z,160
36061008100,40.74024,-74.001604,2017-09-28T16:57:41Z,23
36061008100,40.740039,-74.001297,2017-09-28T16:58:04Z,18
36061008100,40.739976,-74.001132,2017-09-28T16:58:22Z,21
36061008100,40.739893,-74.000817,2017-09-28T16:58:43Z,38
36061008100,40.739694,-74.000356,2017-09-28T16:59:21Z,28
36061008100,40.739426,-73.999899,2017-09-28T16:59:49Z,10
36061008100,40.739279,-73.999768,2017-09-28T16:59:59Z,1
36061008100,40.739279,-73.999768,2017-09-28T17:00:00Z,7
36061008100,40.739173,-73.999673,2017-09-28T17:00:07Z,20
36061008100,40.738829,-73.999481,2017-09-28T17:00:27Z,26
36061008100,40.738769,-73.999539,2017-09-28T17:00:53Z,19
36061008100,40.738704,-73.999602,2017-09-28T17:01:12Z,17
36061007100,40.738378,-73.999686,2017-09-28T17:01:29Z,56
36061007100,40.737568,-73.999913,2017-09-28T17:02:25Z,0
36061007100,40.737568,-73.999913,2017-09-28T17:02:25Z,661
36061001502,40.708025,-74.008032,2017-09-28T17:13:26Z,0
36061001502,40.708025,-74.008032,2017-09-28T17:13:26Z,90
36061000700,40.707235,-74.008233,2017-09-28T17:14:56Z,26
36061000700,40.707421,-74.008472,2017-09-28T17:15:22Z,22
36061000700,40.707481,-74.008700,2017-09-28T17:15:44Z,17
36061000700,40.707509,-74.008735,2017-09-28T17:16:01Z,17
36061000700,40.707337,-74.008818,2017-09-28T17:16:18Z,16
36061000700,40.707053,-74.008945,2017-09-28T17:16:34Z,21
36061000700,40.706682,-74.009038,2017-09-28T17:16:55Z,18
36061000700,40.706435,-74.009375,2017-09-28T17:17:13Z,16
36061000700,40.706203,-74.009332,2017-09-28T17:17:29Z,18
36061000700,40.706273,-74.009086,2017-09-28T17:17:47Z,21
36061000700,40.706267,-74.008665,2017-09-28T17:18:08Z,22
36061000700,40.705873,-74.008383,2017-09-28T17:18:30Z,38
36061000700,40.705567,-74.008250,2017-09-28T17:19:08Z,16
36061000700,40.705363,-74.008111,2017-09-28T17:19:24Z,19
36061000700,40.705219,-74.007843,2017-09-28T17:19:43Z,19
36061000700,40.705063,-74.007658,2017-09-28T17:20:02Z,24
36061000700,40.705127,-74.007457,2017-09-28T17:20:26Z,17
36061000700,40.705017,-74.007333,2017-09-28T17:20:43Z,16
36061000700,40.704986,-74.007271,2017-09-28T17:20:59Z,17
36061000700,40.704906,-74.007027,2017-09-28T17:21:16Z,18
36061000700,40.704678,-74.006760,2017-09-28T17:21:34Z,31
36061000700,40.704296,-74.006304,2017-09-28T17:22:05Z,19
36061000700,40.704099,-74.006240,2017-09-28T17:22:24Z,15
36061000700,40.703995,-74.006404,2017-09-28T17:22:39Z,15
36061000700,40.703922,-74.006510,2017-09-28T17:22:54Z,21
36061000700,40.703759,-74.006556,2017-09-28T17:23:15Z,20
36061000700,40.703544,-74.006533,2017-09-28T17:23:35Z,24
36061000700,40.703147,-74.006439,2017-09-28T17:23:59Z,2053
36061000700,40.703147,-74.006439,2017-09-28T17:58:12Z,107
36047005300,40.672144,-74.019246,2017-09-28T18:14:52Z,30
36047005300,40.671592,-74.018179,2017-09-28T18:15:22Z,226
36047005300,40.670903,-74.013369,2017-09-28T18:19:08Z,0
36047005300,40.670903,-74.013369,2017-09-28T18:19:08Z,17
36047005300,40.670927,-74.013312,2017-09-28T18:19:25Z,15
